name,category,address,open_website,phone_number,open_hours,open_hours_updated,reviews_count,rating,main_image,url,country
Atoka County Medical Center,Hospital,"1590 W Liberty Rd, Atoka, OK 74525",atokamedicalcenter.org,+15808893333,"""{\""Friday\"":\""Open 24 hours\"",\""Monday (Memorial Day)\"":\""Open 24 hours\"",\""Saturday\"":\""Open 24 hours\"",\""Sunday\"":\""Open 24 hours\"",\""Thursday\"":\""Open 24 hours\"",\""Tuesday\"":\""Open 24 hours\"",\""Wednesday\"":\""Open 24 hours\""}""",,1.0,1.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PitVKwVnnhZ5leDA85kI3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.55016&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Atoka+County+Medical+Center/@34.3933742,-96.1544251,17z/data=!3m1!4b1!4m6!3m5!1s0x87b4b3134aea0745:0x6cda70c6e4bdb0ef!8m2!3d34.3933742!4d-96.1544251!16s%2Fg%2F11fqsgzkch?hl=en",US
Hampton Hyundai - North Hampton,Auto body parts supplier,"177 Lafayette Rd, North Hampton, NH 03862",https://www.hyundaiguy.com/?utm_source=GMB_listing&utm_medium=organic,(603) 964-8771,"{""Friday"":""8:30 AM–6 PM"",""Monday"":""8:30 AM–7 PM"",""Saturday"":""8:30 AM–5 PM"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–7 PM"",""Tuesday"":""8:30 AM–7 PM"",""Wednesday"":""8:30 AM–7 PM""}",Open ⋅ Closes 7 PM,257.0,4.6,https://lh5.googleusercontent.com/p/AF1QipN_Lg9fUhvSPss7iK8cH3738X-xEeSXcVlQ2pmz=w122-h92-k-no,https://www.google.com/maps/place/Hampton%20Hyundai%20-%20North%20Hampton/data=!4m7!3m6!1s0x89e2e9f8f7d4921b:0x4ad0fed99cb1680a!8m2!3d42.9909818!4d-70.817332!16s/g/1jmck_ydm!19sChIJG5LU9_jp4okRCmixnNn-0Eo?authuser=0&hl=en&rclk=1,US
One Drop Studio for Hair,Hair salon,"61419 S Hwy 97 Suite P, Bend, OR 97702",http://onedropstudioforhair.com/,(541) 213-7991,"{""Friday"":""9 AM–6 PM"",""Monday"":""9 AM–6 PM"",""Saturday"":""10 AM–3 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–6 PM"",""Tuesday"":""9 AM–6 PM"",""Wednesday"":""9 AM–6 PM""}",Closed ⋅ Opens 9 AM,18.0,5.0,https://lh5.googleusercontent.com/p/AF1QipOg-f-0IOk0YvR5nK9dNmmqF1np-WldIhPbiRza=w122-h92-k-no,https://www.google.com/maps/place/One%20Drop%20Studio%20for%20Hair/data=!4m7!3m6!1s0x54b8c62eb0934ddf:0x4a972e54c374a4b6!8m2!3d44.031110899999995!4d-121.310879!16s/g/11c1s30qjg!19sChIJ302TsC7GuFQRtqR0w1Qul0o?authuser=0&hl=en&rclk=1,US
"TR Disposal Service, LLC.",Waste management service,"W2313 Hillside Dr, Pulaski, WI 54162",https://www.trdisposal.com/,(920) 660-6804,"{""Friday"":""6 AM–6 PM"",""Monday"":""6 AM–6 PM"",""Saturday"":""7 AM–12 PM"",""Sunday"":""6 AM–6 PM"",""Thursday"":""6 AM–6 PM"",""Tuesday"":""6 AM–6 PM"",""Wednesday"":""6 AM–6 PM""}",Closed ⋅ Opens 6 AM Sun,11.0,5.0,https://lh5.googleusercontent.com/p/AF1QipO68UteAzeMRYxKk3Eo61HTo7fQLlTfL0fqzsgP=w204-h92-k-no,"https://www.google.com/maps/place/TR%20Disposal%20Service,%20LLC./data=!4m7!3m6!1s0x8803cc20356cd995:0xcbfa7f6fec99906a!8m2!3d44.6806783!4d-88.3549365!16s/g/1v42gcn2!19sChIJldlsNSDMA4gRapCZ7G9_-ss?authuser=0&hl=en&rclk=1",US
Raleigh Smoothie Bar,Health food store,"6500 Falls of Neuse Rd #100s, Raleigh, NC 27615",http://www.raleighsmoothiebar.com/,(919) 872-1862,"{""Friday"":""10 AM–8 PM"",""Monday"":""10 AM–8 PM"",""Saturday"":""10 AM–8 PM"",""Sunday"":""1–6 PM"",""Thursday"":""10 AM–8 PM"",""Tuesday"":""10 AM–8 PM"",""Wednesday"":""10 AM–8 PM""}",Closed ⋅ Opens 1 PM,2.0,4.0,https://lh5.googleusercontent.com/p/AF1QipPC4gofib8CZ4sfNEoX7RD3nQIWvgPaUTrveB6p=w163-h92-k-no,https://www.google.com/maps/place/Raleigh%20Smoothie%20Bar/data=!4m7!3m6!1s0x89ac59a1be59fac7:0x32dfba29cb7a3dbe!8m2!3d35.870920999999996!4d-78.621099!16s/g/11gslr73yr!19sChIJx_pZvqFZrIkRvj16yym63zI?authuser=0&hl=en&rclk=1,US
Lx Fit Studio,Personal trainer,"2383 NY-32, New Windsor, NY 12553",,(845) 583-1060,"{""Friday"":""8 AM–6 PM"",""Monday"":""8 AM–6 PM"",""Saturday"":""10 AM–2 PM"",""Sunday"":""10 AM–2 PM"",""Thursday"":""8 AM–12 AM"",""Tuesday"":""8 AM–12 AM"",""Wednesday"":""8 AM–6 PM""}",Temporarily closed,7.0,5.0,https://lh5.googleusercontent.com/p/AF1QipObKIZXCoG6WDumC6QWxhiWMlJ8XeWUdjuhn1s7=w122-h92-k-no,https://www.google.com/maps/place/Lx%20Fit%20Studio/data=!4m7!3m6!1s0x89dd2df8f52dd3b7:0xe26214c0d8cc3af0!8m2!3d41.4459468!4d-74.05678569999999!16s/g/11j8ww8xgj!19sChIJt9Mt9fgt3YkR8DrM2MAUYuI?authuser=0&hl=en&rclk=1,US
Cape Coastal Landscaping,Landscape designer,"270 Queen Anne Rd, Harwich, MA 02645",https://www.harwichlandscaper.com/,(888) 874-6576,"{""Friday"":""7 AM–5 PM"",""Monday"":""7 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""7 AM–5 PM"",""Tuesday"":""7 AM–5 PM"",""Wednesday"":""7 AM–5 PM""}",Open ⋅ Closes 5 PM,13.0,4.6,https://lh5.googleusercontent.com/p/AF1QipPclm5VD7wuX44lTI70dRg8naisM_l9TtGQzwFQ=w122-h92-k-no,https://www.google.com/maps/place/Cape%20Coastal%20Landscaping/data=!4m7!3m6!1s0x89fb3f028d4ba6e9:0xa9b4b1b85b65c05d!8m2!3d41.699492899999996!4d-70.0907622!16s/g/1hc1d9d2p!19sChIJ6aZLjQI_-4kRXcBlW7ixtKk?authuser=0&hl=en&rclk=1,US
Airgas Store,Gas cylinders supplier,"2140 Mint Rd, Lansing, MI 48906",https://locations.airgas.com/mi/lansing/airgas-store-n051.html?utm_arg=3rd_party_local:Google::Industrial:N051,(517) 321-8035,"{""Friday"":""8 AM–4:30 PM"",""Monday"":""8 AM–4:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4:30 PM"",""Tuesday"":""8 AM–4:30 PM"",""Wednesday"":""8 AM–4:30 PM""}",Closed ⋅ Opens 8 AM,23.0,4.3,https://lh5.googleusercontent.com/p/AF1QipO05Sv1jaD6YdzzhFvwSMoUGlcUmEAQhLDaNaqD=w80-h106-k-no,https://www.google.com/maps/place/Airgas%20Store/data=!4m7!3m6!1s0x8822eae6657ba8c7:0x1a3016b8adf1ac7c!8m2!3d42.7666496!4d-84.58076249999999!16s/g/1tnmsbh3!19sChIJx6h7ZebqIogRfKzxrbgWMBo?authuser=0&hl=en&rclk=1,US
Bairstow Eves Estate Agent Sudbury,Mortgage broker,"31 King St, Sudbury CO10 2EQ",http://www.bairstoweves.co.uk/forsaleoffice/sudbury/542/?referrer=GooglePlaces&utm_source=gmb&y_source=1_MzI1NzM1Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,01787 860072,"{""Friday"":""9 am–6 pm"",""Monday"":""9 am–6 pm"",""Saturday"":""9 am–4 pm"",""Sunday"":""Closed"",""Thursday"":""9 am–6 pm"",""Tuesday"":""9 am–6 pm"",""Wednesday"":""9 am–6 pm""}",Closed ⋅ Opens 9 am Mon,48.0,4.7,https://lh5.googleusercontent.com/p/AF1QipM3XRyhvsnBlkPYxJ0-uepqNR1XH4dmCPleAr4G=w163-h92-k-no,https://www.google.com/maps/place/Bairstow%20Eves%20Estate%20Agent%20Sudbury/data=!4m7!3m6!1s0x47d855735e12a0e1:0x7d41cfb5c38ff283!8m2!3d52.038335599999996!4d0.7323316!16s/g/1vc_pm24!19sChIJ4aASXnNV2EcRg_KPw7XPQX0?authuser=0&hl=en&rclk=1,GB
Georgetown Square Apartments,Apartment building,"214 Royal Dr, Georgetown, TX 78626",https://www.monroegroup.com/property/georgetown-square-apartments/,(512) 863-3782,,,12.0,2.6,https://lh5.googleusercontent.com/p/AF1QipNsS8rdXj2Y0mUrC7sBFb8A3X3cGB8fY81JOtFA=w163-h92-k-no,https://www.google.com/maps/place/Georgetown%20Square%20Apartments/data=!4m7!3m6!1s0x8644d63cf72d9827:0xc44b44b0e633cd7a!8m2!3d30.6555143!4d-97.67299729999999!16s/g/1tkb5hjn!19sChIJJ5gt9zzWRIYRes0z5rBES8Q?authuser=0&hl=en&rclk=1,US
Noah Harris Adler Architect,Architecture firm,"233 Whitman St, Haworth, NJ 07641",http://www.nha-arch.com/,(201) 494-4224,"{""Friday"":""8 AM–1 PM"",""Monday"":""8 AM–5 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–5 PM"",""Tuesday"":""8 AM–5 PM"",""Wednesday"":""8 AM–5 PM""}",Open ⋅ Closes 5 PM,3.0,5.0,https://lh5.googleusercontent.com/p/AF1QipOkBmNNa6Mb7ZS2TrgUsadeAPEAkRLnG6tckP_R=w122-h92-k-no,https://www.google.com/maps/place/Noah%20Harris%20Adler%20Architect/data=!4m7!3m6!1s0x89c2ef2ff6bcb08f:0x4b06f2aa6b3b305a!8m2!3d40.9620447!4d-73.9789266!16s/g/11q1vvt35t!19sChIJj7C89i_vwokRWjA7a6ryBks?authuser=0&hl=en&rclk=1,US
Citizens,Bank,"631 Mt Auburn St, Watertown, MA 02472",https://locations.citizensbank.com/ma/watertown/631-mount-auburn-st.html,(617) 551-6275,"{""Friday"":""9 AM–4 PM"",""Monday"":""9 AM–4 PM"",""Saturday"":""9 AM–12 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–4 PM"",""Tuesday"":""9 AM–4 PM"",""Wednesday"":""9 AM–4 PM""}",Open ⋅ Closes 4 PM,8.0,4.3,https://lh5.googleusercontent.com/p/AF1QipMEwrXANMJ4zr0U7kryScuGUDq6s9870l_Kpwp7=w80-h106-k-no,https://www.google.com/maps/place/Citizens/data=!4m7!3m6!1s0x89e3778863a4f2db:0x141a4dd6e292ec10!8m2!3d42.371278!4d-71.15748769999999!16s/g/1tjt2y_3!19sChIJ2_KkY4h344kREOyS4tZNGhQ?authuser=0&hl=en&rclk=1,US
Fidelity Local - Camarillo,Website designer,"197 Dawson Dr, Camarillo, CA 93012",fidelitylocksmith.com,+18054360240,"""{}""",,1.0,4.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wdb-Q9nj0X7BmOjlM6GJwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.82288&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Fidelity+Local+-+Camarillo/@34.2139086,-119.0350594,17z/data=!3m1!4b1!4m6!3m5!1s0x80e83622b017840b:0x5d65cec7a83437d2!8m2!3d34.2138967!4d-119.0350362!16s%2Fg%2F11xdh1vtr",US
Sheldon Baptist Church,Baptist church,"2486 Old US 29 Hwy, Pelham, NC 27311",https://www.sheldonbaptistchurch.com/,(336) 388-2689,,,8.0,4.5,https://lh5.googleusercontent.com/p/AF1QipPxMSnobEoezPL4EisnTRs5zydjJRf0r8xF4VU3=w131-h92-k-no,https://www.google.com/maps/place/Sheldon%20Baptist%20Church/data=!4m7!3m6!1s0x8852b5d8dd6a7fbd:0x55cf36c33274337!8m2!3d36.534516499999995!4d-79.4588393!16s/g/1tmxg7s1!19sChIJvX9q3di1UogRN0MnM2zzXAU?authuser=0&hl=en&rclk=1,US
Core Ready Mix,Ready mix concrete supplier,"27212 N 107th Ave, Peoria, AZ 85383",http://corereadymix.com/,(480) 887-4922,,,11.0,4.5,https://lh5.googleusercontent.com/p/AF1QipOTh1lkCRumr1bmBaBwxEC7Fzv0u-ViuHAdpR0V=w122-h92-k-no,https://www.google.com/maps/place/Core%20Ready%20Mix/data=!4m7!3m6!1s0x872b5c31c78e0ee7:0xc8716a11bd863eb2!8m2!3d33.730925!4d-112.294168!16s/g/11cn60yxyn!19sChIJ5w6OxzFcK4cRsj6GvRFqccg?authuser=0&hl=en&rclk=1,US
ComputerHome,Computer repair service,HK 新界 沙田 石門 京瑞廣場2期8樓 D室,https://computerhome.shop/,2115 9219,"{""Friday"":""11 am–8 pm"",""Monday"":""11 am–8 pm"",""Saturday"":""11 am–8 pm"",""Sunday"":""11 am–8 pm"",""Thursday"":""11 am–8 pm"",""Tuesday"":""11 am–8 pm"",""Wednesday"":""11 am–8 pm""}",Permanently closed,6.0,5.0,https://lh5.googleusercontent.com/p/AF1QipNVNdISdKTMFN-3cCtTdPXXMotW_AjGlXcUQJHs=w226-h92-k-no,https://www.google.com/maps/place/ComputerHome/data=!4m7!3m6!1s0x3404079b0e4d5a29:0x755bca128924ba4b!8m2!3d22.388757899999998!4d114.2088823!16s/g/11rdvrg3ws!19sChIJKVpNDpsHBDQRS7okiRLKW3U?authuser=0&hl=en&rclk=1,HK
R.I.C.E. Auctions LLC,Auction house,"2375 Valley Rd, Marysville, PA 17053",http://riceauctions.com/,(717) 957-4243,"{""Friday"":""7 AM–9 PM"",""Monday"":""7 AM–9 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""7 AM–9 PM"",""Tuesday"":""7 AM–9 PM"",""Wednesday"":""7 AM–9 PM""}",Open ⋅ Closes 9 PM,12.0,4.2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RMSbmhN_EfRtYwY2RkBzng&cb_client=search.gws-prod.gps&w=80&h=92&yaw=342.2952&pitch=0&thumbfov=100,https://www.google.com/maps/place/R.I.C.E.%20Auctions%20LLC/data=!4m7!3m6!1s0x89c8db35dbc20a4d:0x36ae161f4c4f2b19!8m2!3d40.327880799999996!4d-77.0145187!16s/g/11cn0r44yh!19sChIJTQrC2zXbyIkRGStPTB8WrjY?authuser=0&hl=en&rclk=1,US
Lookers Ford Gateshead,Car dealer,"Derwentwater Rd, Dunston, Gateshead NE8 2TZ",https://www.lookers.co.uk/ford/contact-us/lookers-ford-gateshead?utm_source=GMB&utm_medium=organic&utm_campaign=website_btn,0191 460 7464,"{""Friday"":""9 am–6 pm"",""Monday"":""10 am–4 pm"",""Saturday"":""9 am–5 pm"",""Sunday"":""10 am–4 pm"",""Thursday"":""9 am–6 pm"",""Tuesday"":""9 am–6 pm"",""Wednesday"":""9 am–6 pm""}",Open ⋅ Closes 5 pm,624.0,4.4,https://lh5.googleusercontent.com/p/AF1QipNA7WeFuQa_hOkm_VcUYSgZP4laXIrnDbXBb5Kb=w138-h92-k-no,https://www.google.com/maps/place/Lookers%20Ford%20Gateshead/data=!4m7!3m6!1s0x487e79e2a584240f:0xa146e5c626d493d9!8m2!3d54.9497979!4d-1.6334297999999998!16s/g/11tkbjgbj2!19sChIJDySEpeJ5fkgR2ZPUJsblRqE?authuser=0&hl=en&rclk=1,GB
"Mark Juska, MD",Sports medicine physician,"1675 E Mt Garfield Rd #135, Muskegon, MI 49444",https://michiganpain.com/,(800) 281-3237,"{""Friday"":""8:30 AM–4:30 PM"",""Monday"":""8:30 AM–4:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–4:30 PM"",""Tuesday"":""8:30 AM–4:30 PM"",""Wednesday"":""8:30 AM–4:30 PM""}",Open ⋅ Closes 4:30 PM,5.0,4.6,https://lh5.googleusercontent.com/p/AF1QipMaKCpn_BDfcVptSEC5l41nCZPUO81RTNRbcl0=w92-h92-k-no,"https://www.google.com/maps/place/Mark%20Juska,%20MD/data=!4m7!3m6!1s0x88197f51c65b8661:0x6eb691125b6459c6!8m2!3d43.1463004!4d-86.2041685!16s/g/11pw_w5cjt!19sChIJYYZbxlF_GYgRxllkWxKRtm4?authuser=0&hl=en&rclk=1",US
Lifesafer Ignition Interlock,Safety equipment supplier,"24002 Vía Fabricante Ste 511, Mission Viejo, CA 92691",lifesafer.com,+19513245199,"""{\""Friday\"":\""9AM to 4:45PM\"",\""Monday\"":\""9AM to 4:45PM\"",\""Saturday\"":\""9AM to 4:45PM\"",\""Sunday (Easter)\"":\""9AM to 4:45PM\"",\""Thursday\"":\""9AM to 4:45PM\"",\""Tuesday\"":\""9AM to 4:45PM\"",\""Wednesday\"":\""9AM to 4:45PM\""}""",,0.0,0.0,https://lh5.googleusercontent.com/p/AF1QipOKjUaLJOJdZMq3AVSceHoF_0KZFXbHZyzUmjpx=w426-h240-k-no,"https://www.google.com/maps/place/Lifesafer+Ignition+Interlock/@33.6147431,-117.6831785,17z/data=!3m1!4b1!4m5!3m4!1s0x80dce9a7f6416393:0x867be1076529e7f8!8m2!3d33.6147431!4d-117.6809898",US
Philipsburg Massage Clinic /Tai Chi & Yoga Studios,Martial arts school,"125 N Front St, Philipsburg, PA 16866",http://www.hutchinsonsystem.org/,(814) 343-6299,"{""Friday"":""7:30 AM–10 PM"",""Monday"":""7:30 AM–10 PM"",""Saturday"":""7:30 AM–7 PM"",""Sunday"":""7:30 AM–12 PM"",""Thursday"":""7:30 AM–10 PM"",""Tuesday"":""Closed"",""Wednesday"":""7:30 AM–10 PM""}",Open ⋅ Closes 10 PM,12.0,5.0,https://lh5.googleusercontent.com/p/AF1QipO7bvMqlhBBdWW-1c2xWPJuHE8ReTuYIfUUFt53=w194-h92-k-no,https://www.google.com/maps/place/Philipsburg%20Massage%20Clinic%20/Tai%20Chi%20&%20Yoga%20Studios/data=!4m7!3m6!1s0x89cc13c03c85e3d7:0x2442405c86fd8125!8m2!3d40.896704!4d-78.2234323!16s/g/11yd9rj77!19sChIJ1-OFPMATzIkRJYH9hlxAQiQ?authuser=0&hl=en&rclk=1,US
